"label","plate no.","exp_no","cell","treatment","day","day_lb","measurement","value"
"E4_Sample28.fcs",NA,2,"S3T21","CTRL",6,"d6","tot_isl",68.58
"E4_Sample28.fcs",NA,2,"S3T21","CTRL",6,"d6","tot_ctnt",3.99
"E5_Sample29.fcs",NA,2,"S3T21","CTRL",7,"d7","dbl_neg",29.7
"E5_Sample29.fcs",NA,2,"S3T21","CTRL",7,"d7","isl_pos",39.8
"E5_Sample29.fcs",NA,2,"S3T21","CTRL",7,"d7","islctnt_pos",27.3
"E5_Sample29.fcs",NA,2,"S3T21","CTRL",7,"d7","ctnt_pos",3.23
"E5_Sample29.fcs",NA,2,"S3T21","CTRL",7,"d7","tot_isl",67.1
"E5_Sample29.fcs",NA,2,"S3T21","CTRL",7,"d7","tot_ctnt",30.53
"E6_Sample30.fcs",NA,2,"S3T21","CTRL",8,"d8","dbl_neg",32.5
"E6_Sample30.fcs",NA,2,"S3T21","CTRL",8,"d8","isl_pos",23.4
"E6_Sample30.fcs",NA,2,"S3T21","CTRL",8,"d8","islctnt_pos",35.6
"E6_Sample30.fcs",NA,2,"S3T21","CTRL",8,"d8","ctnt_pos",8.47
"E6_Sample30.fcs",NA,2,"S3T21","CTRL",8,"d8","tot_isl",59
"E6_Sample30.fcs",NA,2,"S3T21","CTRL",8,"d8","tot_ctnt",44.07
"E7_Sample31.fcs",NA,2,"S3T21","CTRL",9,"d9","dbl_neg",35.3
"E7_Sample31.fcs",NA,2,"S3T21","CTRL",9,"d9","isl_pos",14.2
"E7_Sample31.fcs",NA,2,"S3T21","CTRL",9,"d9","islctnt_pos",36.4
"E7_Sample31.fcs",NA,2,"S3T21","CTRL",9,"d9","ctnt_pos",14.1
"E7_Sample31.fcs",NA,2,"S3T21","CTRL",9,"d9","tot_isl",50.6
"E7_Sample31.fcs",NA,2,"S3T21","CTRL",9,"d9","tot_ctnt",50.5
"E8_Sample32.fcs",NA,2,"S3T21","CTRL",10,"d10","dbl_neg",39.3
"E8_Sample32.fcs",NA,2,"S3T21","CTRL",10,"d10","isl_pos",12.9
"E8_Sample32.fcs",NA,2,"S3T21","CTRL",10,"d10","islctnt_pos",32.5
"E8_Sample32.fcs",NA,2,"S3T21","CTRL",10,"d10","ctnt_pos",15.3
"E8_Sample32.fcs",NA,2,"S3T21","CTRL",10,"d10","tot_isl",45.4
"E8_Sample32.fcs",NA,2,"S3T21","CTRL",10,"d10","tot_ctnt",47.8
"E9_Sample13.fcs",NA,2,"S3T21","RA",4,"d4","dbl_neg",72
"E9_Sample13.fcs",NA,2,"S3T21","RA",4,"d4","isl_pos",27.8
"E9_Sample13.fcs",NA,2,"S3T21","RA",4,"d4","islctnt_pos",0.1
"E9_Sample13.fcs",NA,2,"S3T21","RA",4,"d4","ctnt_pos",0.059
"E9_Sample13.fcs",NA,2,"S3T21","RA",4,"d4","tot_isl",27.9
"E9_Sample13.fcs",NA,2,"S3T21","RA",4,"d4","tot_ctnt",0.159
"F1_Sample33.fcs",NA,3,"S3D21","CTRL",3,"d3","dbl_neg",93.4
"F1_Sample33.fcs",NA,3,"S3D21","CTRL",3,"d3","isl_pos",6.42
"F1_Sample33.fcs",NA,3,"S3D21","CTRL",3,"d3","islctnt_pos",0.16
"F1_Sample33.fcs",NA,3,"S3D21","CTRL",3,"d3","ctnt_pos",0.046
"F1_Sample33.fcs",NA,3,"S3D21","CTRL",3,"d3","tot_isl",6.58
"F1_Sample33.fcs",NA,3,"S3D21","CTRL",3,"d3","tot_ctnt",0.206
"F10_Sample18.fcs",NA,3,"S3D21","RA",6,"d6","dbl_neg",54.8
"F10_Sample18.fcs",NA,3,"S3D21","RA",6,"d6","isl_pos",40
"F10_Sample18.fcs",NA,3,"S3D21","RA",6,"d6","islctnt_pos",4.25
"F10_Sample18.fcs",NA,3,"S3D21","RA",6,"d6","ctnt_pos",0.91
"F10_Sample18.fcs",NA,3,"S3D21","RA",6,"d6","tot_isl",44.25
"F10_Sample18.fcs",NA,3,"S3D21","RA",6,"d6","tot_ctnt",5.16
"F11_Sample19.fcs",NA,3,"S3D21","RA",8,"d8","dbl_neg",52.3
"F11_Sample19.fcs",NA,3,"S3D21","RA",8,"d8","isl_pos",10.1
"F11_Sample19.fcs",NA,3,"S3D21","RA",8,"d8","islctnt_pos",20.5
"F11_Sample19.fcs",NA,3,"S3D21","RA",8,"d8","ctnt_pos",17.1
